Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
Elvis Andrus,TEX,147,648,12,81,72,31,0.052469135,0.148148148,0.118333333,0.304780876,0.275,0.313271604,0.393333333,0.299828589,0.311389393,75.83039635,3.254768341,-16.76267064,13.61845779,1.970365654,Elvis Andrus,8709,462101
Dansby Swanson,ATL,127,545,17,77,65,10,0.093577981,0.227522935,0.17184265,0.299711815,0.250517598,0.325367647,0.422360248,0.317035949,0.350078618,91.48769533,2.847587422,-3.273228591,5.574285626,1.914319849,Dansby Swanson,18314,621020
Amed Rosario,NYM,157,655,15,75,72,19,0.047328244,0.189312977,0.144480519,0.3375,0.287337662,0.323124042,0.431818181,0.31823836,0.317585452,100.7468049,1.51532149,2.160699455,-3.401881218,1.911537314,Amed Rosario,15518,642708
Avisaíl García,TBR,125,530,20,61,72,10,0.058490566,0.235849056,0.18200409,0.340057636,0.282208588,0.332075471,0.464212678,0.334190665,0.343206579,113.1611704,-2.335762993,6.579504118,-6.082673341,1.909599638,Avisail Garcia,5760,541645
Asdrúbal Cabrera,- - -,131,514,18,69,91,4,0.110894941,0.200389105,0.181208054,0.294294294,0.259507829,0.342412451,0.440715883,0.331236014,0.317473335,97.96261691,-3.550635902,-4.61551045,6.213373452,1.900555945,Asdrubal Cabrera,4962,452678
José Abreu,CHW,159,693,33,85,123,2,0.051948051,0.219336219,0.219242903,0.320261437,0.283911671,0.33044733,0.503154574,0.344156404,0.358054063,115.4075094,-2.853906057,10.79285713,-16.6756866,1.862408624,Jose Abreu,15676,547989
Jose Iglesias,CIN,146,530,11,62,59,6,0.037735849,0.132075471,0.119047619,0.315294117,0.287698412,0.31758034,0.406746031,0.306124231,0.285528859,81.61833579,-1.312942205,-14.16658899,16.11989975,1.834007616,Jose Iglesias,10231,578428
César Hernández,PHI,161,667,14,77,71,9,0.067466266,0.149925037,0.129084968,0.312749003,0.279411764,0.332833583,0.408496732,0.315288395,0.302362708,91.33872472,0.589475054,-7.032602077,3.171745002,1.694323316,Cesar Hernandez,10556,514917
Jean Segura,PHI,144,618,12,79,60,10,0.048543689,0.118122977,0.140625,0.301619433,0.279513888,0.322528363,0.420138888,0.315092408,0.310265493,91.21031938,3.299305291,-3.867526865,0.728633404,1.612427025,Jean Segura,5933,516416
Lorenzo Cain,MIL,148,623,11,75,48,18,0.080256821,0.170144462,0.112099644,0.300668151,0.259786476,0.324758842,0.37188612,0.302208371,0.335272511,82.79080953,1.768801437,-12.37656335,7.332385063,1.442883162,Lorenzo Cain,9077,456715
Mallex Smith,SEA,134,566,6,70,37,46,0.074204946,0.249116607,0.107843137,0.302197802,0.22745098,0.29964539,0.335294117,0.277883893,0.2557118,74.36408237,9.498978785,-9.046125395,2.843187124,1.385297113,Mallex Smith,13608,605480
